Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1evNGOcp8vaKyacZ3p20NJ,"Starboy","Starboy","T3NZU",2023-12-23,152125,20,true,31fk7r2twiddpapb5cqweuygxwky,2025-04-11T19:08:50Z,"","Punisher Records",0.635,0.89,6,-6.423,0,0.275,0.114,0.0000119,0.371,0.386,115.923,4
spotify:track:6tHtsHN25Zx5sZlvhtY8NJ,"People You Know x Starboy","People You Know x Starboy","Ren",2023-04-14,131428,45,true,31fk7r2twiddpapb5cqweuygxwky,2025-04-11T19:08:58Z,"","ATMOSWAVE",0.871,0.448,7,-11.748,1,0.141,0.297,0.339,0.343,0.405,104.97,4
spotify:track:5ZKG94fnjiuMH5yrC5S9lS,"One Dance","Views","Drake;Wizkid;Kyla",2016-05-06,173973,61,false,31fk7r2twiddpapb5cqweuygxwky,2025-04-11T19:09:22Z,"rap,afrobeats,afrobeat,afropop,azonto,afroswing,afro r&b,afropiano","Cash Money Records/Young Money Ent./Universal Rec.",0.788,0.605,1,-5.586,1,0.0578,0.00899,0.00275,0.318,0.427,103.94,4
spotify:track:5XeFesFbtLpXzIVDNQP22n,"I Wanna Be Yours","AM","Arctic Monkeys",2013-09-09,183956,91,false,31fk7r2twiddpapb5cqweuygxwky,2025-04-11T19:09:41Z,"indie,garage rock","Domino Recording Co",0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,4
spotify:track:3GCdLUSnKSMJhs4Tj6CV3s,"All The Stars (with SZA) - From ""Black Panther: The Album""","Black Panther The Album Music From And Inspired By","Kendrick Lamar;SZA",2018-02-09,232186,89,true,31fk7r2twiddpapb5cqweuygxwky,2025-04-11T19:12:34Z,"hip hop,west coast hip hop,r&b","Black Panther (TDE/DMG) PS",0.695,0.633,8,-4.946,1,0.0599,0.0612,0.000195,0.0926,0.557,96.782,4
spotify:track:6t3BjzjjLwJX6lWRNKTR3f,"Good For You x One Of The Girls - Sped Up","Good For You x One Of The Girls","dreamsoda",2024-10-05,128075,53,false,31fk7r2twiddpapb5cqweuygxwky,2025-04-11T19:14:57Z,"","dreamsoda",0.566,0.668,3,-7.931,0,0.032,0.0281,0.00741,0.258,0.315,101.984,4
spotify:track:0VjIjW4GlUZAMYd2vXMi3b,"Blinding Lights","After Hours","The Weeknd",2020-03-20,200040,89,false,31fk7r2twiddpapb5cqweuygxwky,2025-04-11T19:15:20Z,"","Republic Records",0.513,0.73,1,-5.94,1,0.0598,0.00143,0.0000954,0.0897,0.334,171.001,4
spotify:track:3KkXRkHbMCARz0aVfEt68P,"Sunflower - Spider-Man: Into the Spider-Verse","Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture)","Post Malone;Swae Lee",2018-12-14,158040,82,false,31fk7r2twiddpapb5cqweuygxwky,2025-04-11T19:15:38Z,"","Universal Records",0.76,0.478,2,-5.574,1,0.0467,0.552,0,0.0703,0.913,89.908,4
spotify:track:7MXVkk9YMctZqd1Srtv4MB,"Starboy","Starboy","The Weeknd;Daft Punk",2016-11-25,230453,89,true,31fk7r2twiddpapb5cqweuygxwky,2025-04-11T19:17:22Z,"french house,electronic,electro","Universal Republic Records",0.679,0.587,7,-7.015,1,0.276,0.141,0.00000635,0.137,0.486,186.003,4
spotify:track:48QmG1dfvMuYLxMPt7KSRA,"No Lie","Mad Love The Prequel","Sean Paul;Dua Lipa",2018-06-29,221176,83,false,31fk7r2twiddpapb5cqweuygxwky,2025-04-11T19:17:35Z,"dancehall,pop","Universal-Island Records Ltd.",0.742,0.882,7,-2.862,1,0.117,0.0466,0,0.206,0.463,102.04,4
spotify:track:54PbBpquVfhfrwRwvjSXbI,"We Don't Talk Anymore (feat. Selena Gomez)","Nine Track Mind (Special Edition)","Charlie Puth;Selena Gomez",2015-11-05,217706,81,false,31fk7r2twiddpapb5cqweuygxwky,2025-04-11T19:17:50Z,"soft pop,pop","Artist Partner",0.728,0.563,1,-8.053,0,0.134,0.621,0,0.179,0.352,100.017,4
spotify:track:4L8sBaAooAZpuYyDZTsxIe,"One Kiss X I Was Never There","One Kiss X I Was Never There","Farizki",2020-05-01,171305,55,false,31fk7r2twiddpapb5cqweuygxwky,2025-04-11T19:18:57Z,"","MUSICPEDIA",0.662,0.672,11,-5.189,0,0.0435,0.0953,0.000192,0.1,0.443,124.014,4
spotify:track:2qxmye6gAegTMjLKEBoR3d,"Let Me Down Slowly","Narrated For You","Alec Benjamin",2018-11-16,169353,81,false,31fk7r2twiddpapb5cqweuygxwky,2025-04-11T19:20:16Z,"","2018",0.652,0.557,1,-5.714,0,0.0318,0.74,0,0.124,0.483,150.073,4
spotify:track:1SOClUWhOi8vHZYMz3GluK,"Infinity","Feel Something","Jaymes Young",2017-06-23,237720,78,false,31fk7r2twiddpapb5cqweuygxwky,2025-04-11T19:21:23Z,"","Atlantic Records",0.671,0.673,11,-6.941,0,0.0444,0.148,0.0000529,0.304,0.494,121.963,4
spotify:track:0lYBSQXN6rCTvUZvg9S0lU,"Let Me Love You","Encore","DJ Snake;Justin Bieber",2016-08-05,205946,86,false,31fk7r2twiddpapb5cqweuygxwky,2025-04-11T19:24:29Z,"","DJ Snake Def Jam",0.475,0.715,8,-5.371,1,0.058,0.0863,0.0000267,0.135,0.159,199.892,4
spotify:track:0u2P5u6lvoDfwTYjAADbn4,"lovely (with Khalid)","lovely (with Khalid)","Billie Eilish;Khalid",2018-04-19,200185,87,false,31fk7r2twiddpapb5cqweuygxwky,2025-04-11T19:24:59Z,"","Darkroom",0.351,0.296,4,-10.109,0,0.0333,0.934,0,0.095,0.12,115.284,4
spotify:track:37F0uwRSrdzkBiuj0D5UHI,"Reminder","Starboy","The Weeknd",2016-11-25,218880,81,true,31fk7r2twiddpapb5cqweuygxwky,2025-04-11T19:26:04Z,"","Universal Republic Records",0.705,0.505,8,-6.923,1,0.193,0.142,0,0.164,0.388,160.053,4
spotify:track:3C0nOe05EIt1390bVABLyN,"On The Floor","Love?","Jennifer Lopez;Pitbull",2011-04-29,284866,81,false,31fk7r2twiddpapb5cqweuygxwky,2025-04-11T19:29:41Z,"","Nuyorican Productions / IDJ",0.73,0.777,3,-5.194,0,0.0496,0.105,0.000486,0.0691,0.575,130.003,4
spotify:track:46u5B2WN4wryYLZuMAOmI4,"Hurts So Good","Leave It Beautiful (Complete)","Astrid S",2021-03-05,208728,70,false,31fk7r2twiddpapb5cqweuygxwky,2025-04-11T19:35:51Z,"norwegian pop","Universal Music AS",0.672,0.625,7,-5.068,0,0.0468,0.0774,0,0.0934,0.423,120.038,4
spotify:track:0qOnSQQF0yzuPWsXrQ9paz,"Stereo Hearts (feat. Adam Levine)","The Papercut Chronicles II","Gym Class Heroes;Adam Levine",2011-11-11,210960,82,false,31fk7r2twiddpapb5cqweuygxwky,2025-04-11T19:38:16Z,"","Decaydance/Fueled By Ramen",0.646,0.795,9,-3.293,1,0.0976,0.0319,0,0.267,0.796,89.99,4
spotify:track:0TK2YIli7K1leLovkQiNik,"Señorita","Señorita","Shawn Mendes;Camila Cabello",2019-06-21,190960,79,false,31fk7r2twiddpapb5cqweuygxwky,2025-04-11T19:56:10Z,"","Island Records",0.759,0.54,9,-6.039,0,0.0287,0.037,0,0.0945,0.75,116.947,4
spotify:track:56kvaa4HjkDdKPI6FQi2ou,"Sweater Weather","Sweater Weather","Lunity",2021-04-14,205557,28,false,31fk7r2twiddpapb5cqweuygxwky,2025-04-11T19:58:26Z,"","Lunity",0.71,0.684,11,-5.842,1,0.0306,0.242,0,0.24,0.506,120.016,4
spotify:track:76f1SAj5CPwJ7VFtQaZAlM,"Alone - From ""Black Panther: Wakanda Forever - Music From and Inspired By""/Soundtrack Version","Hit - List Vol 17","Burna Boy",2023-05-30,221746,36,false,31fk7r2twiddpapb5cqweuygxwky,2025-04-11T19:59:44Z,"afrobeats,afrobeat,afropop,afroswing,dancehall,afropiano","UME - Global Clearing House",0.6,0.659,4,-7.264,0,0.0542,0.176,0,0.111,0.307,89.955,4
spotify:track:39LLxExYz6ewLAcYrzQQyP,"Levitating","Future Nostalgia","Dua Lipa",2020-03-27,203807,79,false,31fk7r2twiddpapb5cqweuygxwky,2025-04-11T20:00:58Z,"pop","Warner Records",0.695,0.884,6,-2.278,0,0.0753,0.0561,0,0.213,0.914,103.014,4
spotify:track:6meWLlDbWZQ1cOglIPt6W7,"Bilionera","Bilionera","Otilia",2017,185202,60,false,31fk7r2twiddpapb5cqweuygxwky,2025-04-11T20:04:55Z,"","Roton Music",0.666,0.816,3,-3.84,0,0.0514,0.0464,0.00402,0.114,0.834,170.169,4
